Visit No.,Model File Name,JWST APT File Name
1,0046+051,WD0046
2,1142-645,WD1142
3,1748+708,WD1748
4,0552-041,WD0552
5,0553+053,WD0553
6,0752-676,WD0752
7,2359-434,WD2359
8,1334+039,WD1334
9,J2151+5917,WD2151
10,0839-327,CD-32-5613
11,2251-070,EGGR-453
12,0038-226,EGGR-246
13,0738-172,LAWD-25
14,0435-088,EGGR-41
15,0912+536,EGGR-250
16,0310-688,CPD-69-177
17,0655-390,L-454-9
18,1917-077,LAWD-74
19,0821-669,SCR-J0821-6703
20,0009+501,EGGR-381
21,0245+541,EGGR-473
22,1647+591,V-DN-Dra
23,2140+207,EGGR-148
24,0727+482A,G-107-70
25,0810-353,UPM-J0812-3529
26,0548-001,EGGR-248
27,1953-011,LAWD-79
28,1345+238,EGGR-438
29,1917+386,EGGR-375
30,1055-072,LAWD-34
31,1900+705,LAWD-73
32,1630+089,G-138-38
33,UCAC4 317-104829,UCAC4-317-104829
34,1444-174,LP-801-9
35,2057-493,WT-765
36,1743-545,PM-J17476-5436
37,1820+609,G-227-28
38,1036-204,EGGR-535
39,VVV J141159.32-592045.7,VVV-J141159.32-592045.7
40,1633+433,PG-1633+434
41,1338+052,LSPM-J1341+0500
42,1121+216,Ross-627
43,1008+290,LP-315-42
44,0840-136,LP-726-1
45,0000-345,LAWD-1
46,1236-495,WG-22
47,2032+248,HD-340611
48,1633+572,EGGR-258
49,2154-512,WG-39
50,2226-754,SSSPM-J2231-7514
51,2226-755,SSSPM-J2231-7515
52,1814+134,LSR-J1817+1328
53,UCAC4 398-010797,UCAC4-398-010797
54,1223-659,WG-21
55,0743-336,VB-3
56,1626+368,Ross-640
57,1019+637,EGGR-350
58,0423+120,EGGR-169
59,1327-083,BD-07-3632
60,2138-332,L-570-26
61,2007-303,CD-30-17706
62,2054-050,Ross-193B
63,1756+827,EGGR-199
64,2307+548,LSPM-J2309+5506E
65,2008-600,LEHPM-2-5312
66,1257+037,Wolf-457
67,1309+853,EGGR-436
68,0655-390,L-454-9
69,0123-262,EGGR-307
70,0148+467,GD-279
71,0230-144,EGGR-471
72,0115+159,Wolf-1516